CenterX_PreNear_CH0,CenterY_PreNear_CH0,CenterX_PreFar_CH0,CenterY_PreFar_CH0,CenterX_PostNear_CH0,CenterY_PostNear_CH0,CenterX_PostFar_CH0,CenterY_PostFar_CH0,BeamSize_PostCureFar_CH0,R_preX_CH0,R_preY_CH0,R_postX_CH0,R_postY_CH0,AutoFindBeam_CH0
317.3237,239.8408,318.8287,237.0623,320.7899,234.236,326.1623,226.5005,15264,1.504973,-2.778479,5.372344,-7.735527,0
315.8911,249.4153,315.4594,248.9451,322.5327,246.4564,316.63,251.8143,22192,-0.431726,-0.470187,-5.902671,5.357982,0
314.4611,243.3914,316.9271,242.7967,323.4702,239.5635,328.9468,237.1335,23191,2.465985,-0.594783,5.47657,-2.429936,0
316.0707,243.04,316.3223,242.5605,320.4085,240.9019,323.264,243.3797,17838,0.251587,-0.479533,2.855531,2.477898,1
322.0735,247.8106,323.8877,244.9513,325.0893,245.2894,331.455,246.8352,17403,1.814114,-2.859294,6.365707,1.545775,0
310.6513,237.3232,313.3413,237.9522,311.9424,239.5027,298.4283,240.1704,18499,2.689974,0.629022,-13.51414,0.667748,0
307.2607,249.6714,307.8765,250.6747,314.4381,245.3571,311.8106,244.2798,22837,0.615788,1.003284,-2.627481,-1.07729,0
320.1818,248.0639,321.0497,246.9294,322.0392,245.0929,319.3909,241.5202,21502,0.867937,-1.134537,-2.64828,-3.572718,0
315.6022,250.1631,318.5981,247.7021,320.351,243.5812,321.1126,233.2062,19965,2.995921,-2.461036,0.761549,-10.37499,0
327.3489,245.1119,330.1814,242.241,328.3702,242.9616,331.1729,246.5257,16423,2.832488,-2.870968,2.802726,3.564045,0
303.1221,251.7911,305.9845,252.5575,312.7815,239.9681,297.6682,241.9189,14458,2.862382,0.766391,-15.11331,1.950836,0
326.9869,249.3009,328.0293,248.7005,328.8791,247.3555,331.5454,251.0456,14874,1.042459,-0.600357,2.666311,3.69006,0
309.9037,248.8004,311.3436,248.3011,319.8544,238.9662,312.8184,242.4236,15168,1.439944,-0.499366,-7.035946,3.457434,0
320.1564,236.4421,318.6925,238.26,316.9185,238.635,300.635,248.8513,15291,-1.463849,1.817905,-16.28353,10.21625,0
308.5561,243.387,309.3119,242.1876,315.9775,235.6153,317.6012,230.9614,21327,0.75581,-1.199405,1.62372,-4.653869,0
307.008,244.851,305.5991,245.729,314.2462,241.1648,329.6444,240.7588,23956,-1.408858,0.878042,15.39823,-0.406021,0
319.5988,243.7056,319.581,243.475,322.7444,238.7846,322.8479,235.3026,21137,-0.017892,-0.230642,0.103545,-3.482062,0
314.5511,237.3171,316.0015,238.8437,318.2331,238.1985,314.6887,237.7031,15422,1.450339,1.526593,-3.544378,-0.495389,0
317.1859,244.5772,314.7673,244.4126,319.931,242.741,331.7163,247.5105,17062,-2.418589,-0.164655,11.78529,4.769565,0
320.386,241.4232,318.2869,238.4372,327.1724,237.1223,324.3719,233.6906,21534,-2.099106,-2.98599,-2.800459,-3.431685,0
320.2351,237.637,318.7575,239.6691,315.5269,239.3467,297.0256,249.418,12764,-1.477622,2.032114,-18.50125,10.07123,0
321.6074,247.4958,323.061,247.6088,323.8683,241.6159,323.727,238.4494,19011,1.453614,0.113066,-0.141314,-3.166445,0
314.1479,236.1759,315.162,239.049,318.5133,238.837,313.5972,247.1055,16430,1.014142,2.873098,-4.916062,8.268514,0
319.9033,248.0093,318.8829,245.4109,323.4041,244.1428,331.3148,236.539,20562,-1.020347,-2.598368,7.910786,-7.60376,0
318.0078,244.2962,318.96,246.4487,326.3927,240.1869,333.303,236.8189,20553,0.952133,2.152475,6.910311,-3.368082,0
309.43,247.417,308.041,248.218,312.421,242.1893,306.3026,239.7756,21260,-1.388975,0.80097,-6.11841,-2.413668,0
322.0452,240.7817,319.6087,239.939,318.2411,242.3296,299.3263,247.071,13889,-2.436453,-0.842684,-18.91484,4.741376,0
317.8859,242.6802,318.7331,242.6026,319.1619,241.2718,320.1241,248.9916,16873,0.847235,-0.077583,0.962174,7.719804,0
310.7549,254.0309,311.8251,253.3567,318.5578,242.7158,308.7075,245.1761,13439,1.070198,-0.674196,-9.850267,2.460215,0
319.23,250.4142,320.9726,248.7725,323.6215,247.5603,330.3804,247.7449,22505,1.742607,-1.641737,6.758891,0.184646,0
311.9618,252.9298,312.9857,253.6289,319.8201,243.8382,306.0646,246.835,14060,1.023927,0.699095,-13.75543,2.996778,0
318.7542,241.7808,319.0565,243.0125,315.8859,243.8579,307.7883,253.2411,13478,0.302251,1.231694,-8.097603,9.383252,0
309.6641,244.1579,311.2018,244.9586,312.3242,238.9774,300.3641,240.6027,19032,1.537739,0.800615,-11.96006,1.625303,0
319.31,247.4567,320.3929,244.9247,321.0969,246.3808,324.9697,250.9231,17418,1.082876,-2.532041,3.87276,4.542362,0
316.1928,237.9926,318.9886,239.4749,319.209,242.4025,312.3549,257.6315,15523,2.795766,1.482234,-6.854021,15.22903,0
308.472,245.3806,310.4656,242.7439,310.5377,241.9921,309.5927,240.4112,22445,1.993538,-2.636681,-0.945021,-1.58092,0
308.9367,236.068,306.9679,237.7451,312.5919,239.2146,301.7367,245.7153,17069,-1.968812,1.677085,-10.85529,6.500721,0
307.2395,237.3852,306.3832,238.8682,311.8535,237.1851,307.0977,232.854,16201,-0.856285,1.483021,-4.755895,-4.331108,0
309.9055,251.7729,310.9908,249.7718,318.824,242.047,309.2937,246.5467,14170,1.08537,-2.001134,-9.530245,4.499677,0
322.3989,241.1544,322.2652,240.7271,320.0382,242.7587,307.5037,248.74,14735,-0.133731,-0.42726,-12.53455,5.981272,0
320.949,244.4513,319.6299,241.539,324.1374,242.2399,330.4405,247.1556,15297,-1.319083,-2.912268,6.303057,4.915666,0
308.59,237.8791,310.291,238.8247,316.0884,239.6255,321.1483,241.0722,18313,1.700967,0.945657,5.059902,1.446711,0
321.7106,243.0641,320.0561,241.7707,323.7614,243.1449,330.8557,244.3283,11487,-1.654433,-1.293334,7.094398,1.183438,1
316.6405,240.2207,317.3106,242.3859,318.0363,233.7813,317.8085,230.2298,20069,0.670137,2.165156,-0.227769,-3.551512,0
314.1297,246.8097,316.698,245.6586,322.928,239.8752,334.3856,242.0271,21960,2.568303,-1.151134,11.45759,2.151975,0
